,TÍTULO,ANO,CLUBE,JOGADOR
0,MELHOR JOGADOR DO MUNDO,2017,Real Madrid CF,Cristiano Ronaldo
1,MELHOR JOGADOR DO MUNDO,2016,Real Madrid CF,Cristiano Ronaldo
2,MELHOR JOGADOR DO MUNDO,2008,Manchester United FC,Cristiano Ronaldo
3,VENCEDOR BALLON D OR,2017,Cristiano Ronaldo,Cristiano Ronaldo
4,VENCEDOR BALLON D OR,2016,Cristiano Ronaldo,Cristiano Ronaldo
5,VENCEDOR BALLON D OR,2014,Cristiano Ronaldo,Cristiano Ronaldo
6,VENCEDOR BALLON D OR,2013,Cristiano Ronaldo,Cristiano Ronaldo
7,VENCEDOR BALLON D OR,2008,Cristiano Ronaldo,Cristiano Ronaldo
8,O FUTEBOLISTA DO ANO DA EUROPA,2017,Real Madrid CF,Cristiano Ronaldo
9,O FUTEBOLISTA DO ANO DA EUROPA,2016,Real Madrid CF,Cristiano Ronaldo
10,O FUTEBOLISTA DO ANO DA EUROPA,2014,Real Madrid CF,Cristiano Ronaldo
11,O FUTEBOLISTA DO ANO DA EUROPA,2008,Manchester United FC,Cristiano Ronaldo
12,FUTEBOLISTA DO ANO,2018,Portugal,Cristiano Ronaldo
13,FUTEBOLISTA DO ANO,2017,Portugal,Cristiano Ronaldo
14,FUTEBOLISTA DO ANO,2016,Portugal,Cristiano Ronaldo
15,FUTEBOLISTA DO ANO,2015,Portugal,Cristiano Ronaldo
16,FUTEBOLISTA DO ANO,2013,Portugal,Cristiano Ronaldo
17,FUTEBOLISTA DO ANO,2012,Portugal,Cristiano Ronaldo
18,FUTEBOLISTA DO ANO,2011,Portugal,Cristiano Ronaldo
19,FUTEBOLISTA DO ANO,2009,Portugal,Cristiano Ronaldo
20,FUTEBOLISTA DO ANO,2008,Portugal,Cristiano Ronaldo
21,FUTEBOLISTA DO ANO,2007,Portugal,Cristiano Ronaldo
22,MELHOR MARCADOR,20/21,Campeonato da Europa 2020 - 5 Golos,Cristiano Ronaldo
23,MELHOR MARCADOR,20/21,Serie A - 29 Golos,Cristiano Ronaldo
24,MELHOR MARCADOR,18/19,Liga das Nações da UEFA - Fase final - 3 Golos,Cristiano Ronaldo
25,MELHOR MARCADOR,17/18,Mundial de Clubes,Cristiano Ronaldo
26,MELHOR MARCADOR,17/18,UEFA Champions League - 15 Golos,Cristiano Ronaldo
27,MELHOR MARCADOR,16/17,Mundial de Clubes - 4 Golos,Cristiano Ronaldo
28,MELHOR MARCADOR,16/17,UEFA Champions League - 12 Golos,Cristiano Ronaldo
29,MELHOR MARCADOR,15/16,UEFA Champions League - 16 Golos,Cristiano Ronaldo
30,MELHOR MARCADOR,14/15,UEFA Champions League - 10 Golos,Cristiano Ronaldo
31,MELHOR MARCADOR,14/15,LaLiga - 48 Golos,Cristiano Ronaldo
32,MELHOR MARCADOR,13/14,LaLiga - 31 Golos,Cristiano Ronaldo
33,MELHOR MARCADOR,13/14,UEFA Champions League - 17 Golos,Cristiano Ronaldo
34,MELHOR MARCADOR,12/13,UEFA Champions League - 12 Golos,Cristiano Ronaldo
35,MELHOR MARCADOR,11/12,Campeonato da Europa 2012 - 3 Golos,Cristiano Ronaldo
36,MELHOR MARCADOR,10/11,Copa do Rei - 7 Golos,Cristiano Ronaldo
37,MELHOR MARCADOR,10/11,LaLiga - 40 Golos,Cristiano Ronaldo
38,MELHOR MARCADOR,07/08,UEFA Champions League - 8 Golos,Cristiano Ronaldo
39,MELHOR MARCADOR,07/08,Premier League - 31 Golos,Cristiano Ronaldo
40,MELHOR MARCADOR,04/05,FA Cup,Cristiano Ronaldo
41,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2019,Itália,Cristiano Ronaldo
42,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2017,Espanha,Cristiano Ronaldo
43,CAMPEÃO DA EUROPA,2016,Portugal,Cristiano Ronaldo
44,VENCEDOR DA CHAMPIONS-LEAGUE,17/18,Real Madrid CF,Cristiano Ronaldo
45,VENCEDOR DA CHAMPIONS-LEAGUE,16/17,Real Madrid CF,Cristiano Ronaldo
46,VENCEDOR DA CHAMPIONS-LEAGUE,15/16,Real Madrid CF,Cristiano Ronaldo
47,VENCEDOR DA CHAMPIONS-LEAGUE,13/14,Real Madrid CF,Cristiano Ronaldo
48,VENCEDOR DA CHAMPIONS-LEAGUE,07/08,Manchester United FC,Cristiano Ronaldo
49,CAMPEÃO DO MUNDO FIFA-KLUB,2017,Real Madrid CF,Cristiano Ronaldo
50,CAMPEÃO DO MUNDO FIFA-KLUB,2016,Real Madrid CF,Cristiano Ronaldo
51,CAMPEÃO DO MUNDO FIFA-KLUB,2014,Real Madrid CF,Cristiano Ronaldo
52,CAMPEÃO DO MUNDO FIFA-KLUB,2008,Manchester United FC,Cristiano Ronaldo
53,CAMPEÃO DA INGLATERRA,2009,Manchester United FC,Cristiano Ronaldo
54,CAMPEÃO DA INGLATERRA,2008,Manchester United FC,Cristiano Ronaldo
55,CAMPEÃO DA INGLATERRA,2007,Manchester United FC,Cristiano Ronaldo
56,CAMPEÃO DE ESPANHA,16/17,Real Madrid CF,Cristiano Ronaldo
57,CAMPEÃO DE ESPANHA,2023-12-11 00:00:00,Real Madrid CF,Cristiano Ronaldo
58,CAMPEÃO DE ITÁLIA,19/20,Juventus FC,Cristiano Ronaldo
59,CAMPEÃO DE ITÁLIA,18/19,Juventus FC,Cristiano Ronaldo
60,VENCEDOR UEFA NATIONS LEAGUE,2019,Portugal,Cristiano Ronaldo
61,VENCEDOR UEFA-SUPERCUP,17/18,Real Madrid CF,Cristiano Ronaldo
62,VENCEDOR UEFA-SUPERCUP,16/17,Real Madrid CF,Cristiano Ronaldo
63,VENCEDOR UEFA-SUPERCUP,14/15,Real Madrid CF,Cristiano Ronaldo
64,VENCEDOR DA TAÇA DE INGLATERRA,2004,Manchester United FC,Cristiano Ronaldo
65,VENCEDOR DA TAÇA DE ESPANHA,13/14,Real Madrid CF,Cristiano Ronaldo
66,VENCEDOR DA TAÇA DE ESPANHA,10/11,Real Madrid CF,Cristiano Ronaldo
67,VENCEDOR DA TAÇA DE ITÁLIA,20/21,Juventus FC,Cristiano Ronaldo
68,VENCEDOR DA TAÇA DA LIGA DE INGLATERRA,2009,Manchester United FC,Cristiano Ronaldo
69,VENCEDOR DA TAÇA DA LIGA DE INGLATERRA,2006,Manchester United FC,Cristiano Ronaldo
70,VENCEDOR DA SUPERTAÇA DE ESPANHA,17/18,Real Madrid CF,Cristiano Ronaldo
71,VENCEDOR DA SUPERTAÇA DE ESPANHA,12/13,Real Madrid CF,Cristiano Ronaldo
72,VENCEDOR DA SUPERTAÇA DA ITÁLIA,20/21,Juventus FC,Cristiano Ronaldo
73,VENCEDOR DA SUPERTAÇA DA ITÁLIA,18/19,Juventus FC,Cristiano Ronaldo
74,VENCEDOR DA SUPERTAÇA DE INGLATERRA,2008,Manchester United FC,Cristiano Ronaldo
75,VENCEDOR DA SUPERTAÇA DE INGLATERRA,2007,Manchester United FC,Cristiano Ronaldo
76,VENCEDOR DA SUPERTAÇA DE PORTUGAL,2002,Sporting CP,Cristiano Ronaldo
77,MELHOR JOGADOR DO MUNDO,2022,Lionel Messi,Lionel Messi
78,MELHOR JOGADOR DO MUNDO,2019,Lionel Messi,Lionel Messi
79,MELHOR JOGADOR DO MUNDO,2009,Lionel Messi,Lionel Messi
80,VENCEDOR BALLON D OR,2021,Lionel Messi,Lionel Messi
81,VENCEDOR BALLON D OR,2019,Lionel Messi,Lionel Messi
82,VENCEDOR BALLON D OR,2015,Lionel Messi,Lionel Messi
83,VENCEDOR BALLON D OR,2012,Lionel Messi,Lionel Messi
84,VENCEDOR BALLON D OR,2011,Lionel Messi,Lionel Messi
85,VENCEDOR BALLON D OR,2010,Lionel Messi,Lionel Messi
86,VENCEDOR BALLON D OR,2009,Lionel Messi,Lionel Messi
87,O FUTEBOLISTA DO ANO DA EUROPA,2015,Lionel Messi,Lionel Messi
88,O FUTEBOLISTA DO ANO DA EUROPA,2011,Lionel Messi,Lionel Messi
89,O FUTEBOLISTA DO ANO DA EUROPA,2009,Lionel Messi,Lionel Messi
90,MELHOR MARCADOR,20/21,Copa América 2021 - 4 Golos,Lionel Messi
91,MELHOR MARCADOR,20/21,LaLiga - 30 Golos,Lionel Messi
92,MELHOR MARCADOR,19/20,LaLiga - 25 Golos,Lionel Messi
93,MELHOR MARCADOR,18/19,LaLiga - 36 Golos,Lionel Messi
94,MELHOR MARCADOR,18/19,UEFA Champions League - 12 Golos,Lionel Messi
95,MELHOR MARCADOR,17/18,LaLiga - 34 Golos,Lionel Messi
96,MELHOR MARCADOR,16/17,Copa do Rei,Lionel Messi
97,MELHOR MARCADOR,16/17,LaLiga - 37 Golos,Lionel Messi
98,MELHOR MARCADOR,15/16,Copa do Rei - 5 Golos,Lionel Messi
99,MELHOR MARCADOR,14/15,UEFA Champions League - 10 Golos,Lionel Messi
100,MELHOR MARCADOR,13/14,Copa do Rei - 5 Golos,Lionel Messi
101,MELHOR MARCADOR,12/13,LaLiga - 46 Golos,Lionel Messi
102,MELHOR MARCADOR,11/12,UEFA Champions League - 14 Golos,Lionel Messi
103,MELHOR MARCADOR,11/12,LaLiga - 50 Golos,Lionel Messi
104,MELHOR MARCADOR,10/11,Mundial de Clubes,Lionel Messi
105,MELHOR MARCADOR,10/11,UEFA Champions League - 12 Golos,Lionel Messi
106,MELHOR MARCADOR,10/11,Copa do Rei,Lionel Messi
107,MELHOR MARCADOR,09/10,LaLiga - 34 Golos,Lionel Messi
108,MELHOR MARCADOR,09/10,UEFA Champions League - 8 Golos,Lionel Messi
109,MELHOR MARCADOR,08/09,Copa do Rei - 6 Golos,Lionel Messi
110,MELHOR MARCADOR,08/09,UEFA Champions League - 9 Golos,Lionel Messi
111,MELHOR MARCADOR,04/05,Campeonato do Mundo Sub 20 2005 - 6 Golos,Lionel Messi
112,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2021,Espanha,Lionel Messi
113,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2020,Espanha,Lionel Messi
114,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2019,Espanha,Lionel Messi
115,FUTEBOLISTA DO ANO (TRANSFERMARKT.DE ESCOLHA DO UTILIZADOR),2018,Espanha,Lionel Messi
116,CAMPEÃO DO MUNDO,2022,Argentina,Lionel Messi
117,VENCEDOR COPA AMÉRICA,20/21,Argentina,Lionel Messi
118,VENCEDOR DA CHAMPIONS-LEAGUE,14/15,FC Barcelona,Lionel Messi
119,VENCEDOR DA CHAMPIONS-LEAGUE,10/11,FC Barcelona,Lionel Messi
120,VENCEDOR DA CHAMPIONS-LEAGUE,08/09,FC Barcelona,Lionel Messi
121,VENCEDOR DA CHAMPIONS-LEAGUE,05/06,FC Barcelona,Lionel Messi
122,CAMPEÃO DO MUNDO FIFA-KLUB,2016,FC Barcelona,Lionel Messi
123,CAMPEÃO DO MUNDO FIFA-KLUB,2012,FC Barcelona,Lionel Messi
124,CAMPEÃO DO MUNDO FIFA-KLUB,2010,FC Barcelona,Lionel Messi
125,CAMPEÃO DE ESPANHA,18/19,FC Barcelona,Lionel Messi
126,CAMPEÃO DE ESPANHA,17/18,FC Barcelona,Lionel Messi
127,CAMPEÃO DE ESPANHA,15/16,FC Barcelona,Lionel Messi
128,CAMPEÃO DE ESPANHA,14/15,FC Barcelona,Lionel Messi
129,CAMPEÃO DE ESPANHA,12/13,FC Barcelona,Lionel Messi
130,CAMPEÃO DE ESPANHA,10/11,FC Barcelona,Lionel Messi
131,CAMPEÃO DE ESPANHA,09/10,FC Barcelona,Lionel Messi
132,CAMPEÃO DE ESPANHA,08/09,FC Barcelona,Lionel Messi
133,CAMPEÃO DE ESPANHA,05/04,FC Barcelona,Lionel Messi
134,CAMPEÃO DE ESPANHA,04/05,FC Barcelona,Lionel Messi
135,CAMPEÃO DE FRANÇA,21/22,FC Paris Saint-Germain,Lionel Messi
136,VENCEDOR UEFA-SUPERCUP,15/16,FC Barcelona,Lionel Messi
137,VENCEDOR UEFA-SUPERCUP,11/12,FC Barcelona,Lionel Messi
138,VENCEDOR UEFA-SUPERCUP,09/10,FC Barcelona,Lionel Messi
139,VENCEDOR DA TAÇA DE ESPANHA,20/21,FC Barcelona,Lionel Messi
140,VENCEDOR DA TAÇA DE ESPANHA,17/18,FC Barcelona,Lionel Messi
141,VENCEDOR DA TAÇA DE ESPANHA,16/17,FC Barcelona,Lionel Messi
142,VENCEDOR DA TAÇA DE ESPANHA,15/16,FC Barcelona,Lionel Messi
143,VENCEDOR DA TAÇA DE ESPANHA,14/15,FC Barcelona,Lionel Messi
144,VENCEDOR DA TAÇA DE ESPANHA,11/12,FC Barcelona,Lionel Messi
145,VENCEDOR DA TAÇA DE ESPANHA,08/09,FC Barcelona,Lionel Messi
146,VENCEDOR DA SUPERTAÇA DE ESPANHA,18/19,FC Barcelona,Lionel Messi
147,VENCEDOR DA SUPERTAÇA DE ESPANHA,16/17,FC Barcelona,Lionel Messi
148,VENCEDOR DA SUPERTAÇA DE ESPANHA,13/14,FC Barcelona,Lionel Messi
149,VENCEDOR DA SUPERTAÇA DE ESPANHA,11/12,FC Barcelona,Lionel Messi
150,VENCEDOR DA SUPERTAÇA DE ESPANHA,10/11,FC Barcelona,Lionel Messi
151,VENCEDOR DA SUPERTAÇA DE ESPANHA,09/10,FC Barcelona,Lionel Messi
152,VENCEDOR DA SUPERTAÇA DE ESPANHA,06/07,FC Barcelona,Lionel Messi
153,VENCEDOR DA SUPERTAÇA DE ESPANHA,05/06,FC Barcelona,Lionel Messi
154,CAMPEÃO DO MUNDO SUB20,2005,Argentina Sub-20,Lionel Messi
155,CONMEBOL-UEFA CUP OF CHAMPIONS WINNER,21/22,Argentina,Lionel Messi
156,VENCEDOR DA SUPERTAÇA DE FRANÇA,22/23,FC Paris Saint-Germain,Lionel Messi
157,VENCEDOR OLÍMPICO,2023-09-08 00:00:00,Argentina olímpica,Lionel Messi
